legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
26083,20,large,major,serpentin,serpentinite,Yolla Bolly Terrane; Dothan Formation,"Major: {serpentinite, mineralization: chromite, nickel, copper, asbestos} Minor: {harzburgite, mineralization: chromite, nickel, copper, asbestos}; Minor: {pyroxenite, mineralization: chromite, nickel, copper, asbestos}; Minor: {dunite, mineralization: chromite, nickel, copper, asbestos}",2.164,62;88;128
53328,90,large,idonly,harmonised-lith-id,,Santa Clara Formation,,20.128,6;7;9;10;12;14;30;38;45;75;76;84;87;88
19183,20,large,minor,wehrlit,dunite,Applegate Group,"Major: {dunite, serpentinization: serpentinized}; Major: {peridotite, serpentinization: serpentinized}; Major: {chromitite} Minor: {wehrlite}",0.549,61;128
52689,83,large,minor,serpentin,serpentinite,Franciscan complex,"graywacke, shale, conglomerate, chert, and serpentinite",61.292,8;12;14;45;88
19492,20,large,major,peridotit,peridotite,Baker Terrane; Canyon Mountain Complex,"Major: {peridotite, mineralization: chromite; mineralogy: olivine}",0.498,61
16312,13,large,major,pyroxenit,pyroxenite,Seventeen Gabbro (Tasman Intrusives),"Major:: {gabbro},Minor:: {pyroxenite}",0.865,59;62
16990,13,large,major,ultramaf,serpentinite,Upukerora Melange (Dun Mountain Ultramafics Group),"Major:: {serpentinite},Minor:: {peridotite, harzburgite, gabbro, dolerite, rodingite}",57.417,59;61;88;94;128
14151,13,large,major,ultramaf,serpentinite,Aspiring lithologic association Pounamu Ultramafics TZIII (Rakaia Terrane),"Major:: {serpentinite},Minor:: {schist, gabbro}",0.617,59;84;88
25211,20,large,major,peridotit,serpentinite,Sixes River Terrane,"Major: {serpentinite, unaltered peridotite blocks}; Major: {peridotite, brown; olivine grains; veins: veinlets of fibrous chrysotile; alteration: unaltered saxonite}",0.055,61;88
25714,20,large,major,wehrlit,wehrlite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {wehrlite, greenish black; mineralogy: olivine, clinopyroxene}",0.089,128
25093,20,large,major,peridotit,peridotite,Sexton Mtn. Terrane,"Major: {peridotite, very dark green, black; mineralization: strong magnetism} Minor: {amphibolite}",12.358,61;86
45710,38,large,idonly,harmonised-lith-id,,Franciscan Complex,,492.082,8;10;12;18;30;45;78;87;88
